migration_id,filename,classification,expected_objects,actual_objects,proof_level,risk,runtime_impact,recommended_action
002,002_klijenti_crm.sql,SCHEMA MATCH ONLY,tab=4 kol=14 idx=14 pol_trg=4,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
003,003_billing.sql,SCHEMA MATCH ONLY,tab=3 kol=0 idx=8 pol_trg=3,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
004,004_klijenti_fixes.sql,SCHEMA MATCH ONLY,tab=0 kol=2 idx=0 pol_trg=0,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
005,005_rocista.sql,SCHEMA MATCH ONLY,tab=1 kol=0 idx=3 pol_trg=1,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
006,006_tarife.sql,SCHEMA MATCH ONLY,tab=2 kol=0 idx=4 pol_trg=2,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
007,007_ingest_jobs.sql,SCHEMA MATCH ONLY,tab=1 kol=0 idx=0 pol_trg=1,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
008,008_sef_recurring.sql,SCHEMA MATCH ONLY,tab=4 kol=0 idx=3 pol_trg=4,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
009,009_notifications_analytics.sql,SCHEMA MATCH ONLY,tab=2 kol=0 idx=4 pol_trg=2,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
010,010_client_portal.sql,SCHEMA MATCH ONLY,tab=1 kol=0 idx=3 pol_trg=1,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
011,011_saradnja.sql,SCHEMA MATCH ONLY,tab=1 kol=0 idx=3 pol_trg=1,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
012,012_sms_notifikacije.sql,SCHEMA MATCH ONLY,tab=1 kol=0 idx=0 pol_trg=1,nedostaje=0,SCHEMA,P3,sema se poklapa; ledger ne postoji,DO NOT RUN
