table,exists_in_prod,referenced_by_backend,referenced_by_frontend,writers,readers,columns_read,columns_written,pk,fk,not_null,criticality,confidence
agent_recommendations,YES,YES,NO,routers/agent_notifications.py;services/agent_tasks/court_portal_watcher.py;services/agent_tasks/precedents_radar.py,routers/agent_notifications.py,created_at;id;status;user_id,agent_type;dedup_key;naslov;opis;payload;predmet_id;resolved_at;status;user_id,id,predmet_id->predmeti.id,agent_type;created_at;dedup_key;id;naslov;payload;status;user_id,P0,PROVEN
agent_runs,YES,NO,NO,-,-,-,-,id,-,id;started_at,P3,PROVEN
ai_cache,YES,YES,NO,main.py,main.py,cache_key;expires_at;metadata;odgovor,cache_key;expires_at;metadata;odgovor,cache_key,-,cache_key;expires_at;odgovor,P2,PROVEN
ai_corrections,YES,YES,NO,routers/corrections.py,routers/corrections.py;routers/proof.py,context_type;created_at;edit_distance;edited_output;id;kancelarija_id;original_output;partner_uid;processed;tip_dokumenta;tip_korekcije,context_type;edit_distance;edited_output;kancelarija_id;original_output;partner_uid;predmet_id;processed;prompt_summary;tip_dokumenta;tip_korekcije;user_id,id,kancelarija_id->kancelarije.id,context_type;edited_output;id;original_output;user_id,P0,PROVEN
ai_forensics,YES,YES,NO,security/ai_forensics.py;services/retention_service.py,routers/admin_dashboard.py;scripts/dr_runbook.py,id;started_at,-,id,-,id;user_id,P1,PROVEN/PARTIAL
ai_sessions,YES,YES,NO,api.py,api.py,created_at;sadrzaj;session_id;uloga;user_id,sadrzaj;session_id;uloga;user_id,id,-,id;sadrzaj;session_id;uloga;user_id,P0,PROVEN
aktivne_sesije,YES,YES,NO,routers/sesije.py,routers/analytics.py;routers/sesije.py,device_id;id;poslednja_aktivnost;user_id,device_id;poslednja_aktivnost;user_id,id,-,created_at;device_id;id;poslednja_aktivnost;user_id,P0,PROVEN
api_costs,NO,YES,NO,shared/cost.py,-,-,calls;completion_tokens;cost_usd;endpoint;model;prompt_tokens;total_tokens;user_id,-,-,-,P0,PROVEN_ABSENT
api_kljucevi,YES,YES,NO,routers/export.py;routers/integracije.py,routers/export.py;routers/integracije.py,aktivan;broj_poziva;id;kljuc;kreirano;naziv;poslednje_koriscenje;user_id,aktivan;broj_poziva;kljuc;naziv;poslednje_koriscenje;user_id,id,-,id;kljuc;user_id,P0,PROVEN
applications,YES,NO,NO,-,-,-,-,id,job_id->jobs.id,cover_letter_text;id;job_id;status;submission_method,P3,PROVEN
